waveumber,lower_key,upper_key,probability
45025.1000,1|4G5),3H4p__z2G3*,0.3827
45030.8700,1|4G5),3H4p__z2G3*,0.2015
45518.9200,2|5D4)4D,3H4p__z2G3*,0.0017
45745.0500,2|5D4)4D,3H4p__z2G3*,0.0001
53239.0700,2|5D4)6D,3H4p__z2G3*,0.0001
53395.1100,2|5D4)6D,3H4p__z2G3*,0.0000
2978.4100,2|1G2)2G,3H4p__z2G4*,0.0000
6109.9800,2|3F2)2F,3H4p__z2G4*,0.0071
10792.1100,2|3F2)4F,3H4p__z2G4*,0.0140
10812.4700,2|3F2)4F,3H4p__z2G4*,0.0012
11757.0700,3|4F3)4F,3H4p__z2G4*,0.0010
12113.8000,3|4F3)4F,3H4p__z2G4*,0.0093
13359.0700,1|2G3),3H4p__z2G4*,0.0439
13382.2700,1|2G3),3H4p__z2G4*,0.0003
15012.8400,2|1F4)2F,3H4p__z2G4*,0.0063
25451.7500,2|1I4)2I,3H4p__z2G4*,0.0086
25803.0100,1|2F5),3H4p__z2G4*,0.0334
25855.7000,2|1G4)2G,3H4p__z2G4*,0.5657
25996.3300,1|2F5),3H4p__z2G4*,0.0274
27117.0700,2|3G4)2G,3H4p__z2G4*,3.1633
27171.1500,2|3G4)2G,3H4p__z2G4*,0.0040
27410.4900,2|3D4)4D,3H4p__z2G4*,0.0070
29407.5400,1|2G5),3H4p__z2G4*,3.1871
29578.5000,1|2G5),3H4p__z2G4*,0.0295
29972.5900,1|2H3),3H4p__z2G4*,16.7879
30069.7300,1|2H3),3H4p__z2G4*,0.6020
30072.5800,2|3F4)2F,3H4p__z2G4*,34.6172
30867.1300,2|3H4)2H,3H4p__z2G4*,33.1085
